date,open,high,low,close,volume,trade_count,vwap,symbol
4/7/2020,47.2,48.17,45.9,46.77,1854321,18034,47.135453,BUD
4/8/2020,47.13,48.29,46.87,47.9,1915442,19741,47.619858,BUD
4/9/2020,48.82,49.23,47.39,48.9,3902549,38573,48.379202,BUD
4/13/2020,49.8,49.94,48.5,49.4,1817231,19082,49.306401,BUD
4/14/2020,48.1,48.8625,47.67,48.07,4147740,32714,48.185426,BUD
4/15/2020,46.29,46.78,45,45.54,2962868,26009,45.729871,BUD
4/16/2020,46.42,46.42,45.25,45.5,1392665,15324,45.687962,BUD
4/17/2020,45.59,46.06,45.29,45.95,2669461,21631,45.640925,BUD
4/20/2020,44.5,45.27,44.0099,44.59,2202906,21673,44.753257,BUD
4/21/2020,42.46,43.6,41.51,43.14,4063586,39258,42.565572,BUD
4/22/2020,41.15,42.54,41.11,41.61,4817988,40591,41.66343,BUD
4/23/2020,41.82,42.85,41.65,41.93,1870491,17310,42.225613,BUD
4/24/2020,42.33,42.5,41.15,41.91,1791282,18907,41.686832,BUD
4/27/2020,42.8,44.3923,42.7,44.16,1945993,18851,43.668754,BUD
4/28/2020,45.78,47.03,45.158,46.85,2262338,19859,46.318499,BUD
4/29/2020,47.71,49.22,47.69,48.66,2723434,20256,48.500343,BUD
4/30/2020,46.86,46.86,45.38,46.52,3502093,31677,46.171509,BUD
5/1/2020,46.4,46.48,44.71,44.79,1640112,15834,45.363926,BUD
5/4/2020,42.42,43.02,41.67,42.39,3548504,32179,42.264267,BUD
5/5/2020,41.9,42.34,41.42,41.49,3160474,29146,41.83761,BUD
5/6/2020,42.45,42.77,41.93,42.63,2181238,20191,42.335933,BUD
5/7/2020,43.95,43.98,42.41,42.43,1915112,19270,43.038584,BUD
5/8/2020,43.26,43.49,43.02,43.34,2164482,17276,43.289384,BUD
5/11/2020,43.28,43.28,42.73,42.73,2046611,17954,42.911997,BUD
5/12/2020,42.52,42.595,41.51,41.51,1776488,17740,42.122242,BUD
5/13/2020,41,41.1353,39.77,40.21,2586907,27580,40.294011,BUD
5/14/2020,38.62,39.66,37.93,39.52,3712827,35910,38.878509,BUD
5/15/2020,39.66,40.25,39.4,39.97,1832320,19562,39.955048,BUD
5/18/2020,41.13,43.24,41.11,43.11,2694482,24870,42.4462,BUD
5/19/2020,42.87,42.92,40.6398,41.26,5896390,47295,41.532268,BUD
5/20/2020,42.25,42.54,41.75,42.18,3440761,28857,42.117328,BUD
5/21/2020,41.45,41.8689,40.89,41.15,3657897,29411,41.250327,BUD
5/22/2020,41.13,41.135,40.31,40.9,3335163,27061,40.807149,BUD
5/26/2020,43.09,44.74,42.83,44.4,6055729,43276,44.053589,BUD
5/27/2020,47.75,47.75,45.96,47.14,4867658,39003,46.797048,BUD
5/28/2020,48.35,48.35,47.39,47.48,4250886,31304,47.873462,BUD
5/29/2020,47,47.13,46.19,46.88,3144469,25939,46.746252,BUD
6/1/2020,47.83,49.11,47.46,48.93,3204202,27463,48.698161,BUD
6/2/2020,49.29,50.15,48.89,49.57,4194896,35660,49.63795,BUD
6/3/2020,52.62,55.14,52.41,54.36,6584155,52037,53.839389,BUD
